state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2;year;month;total_paper_num;total_cited_num;paper_num_density;citation_density;academic_index;crdi_index
budapest;na;hungary;Budapest University of Technology and Economics;6;2020-05-01;;538.4248558570337;2020;5;12;568;1.9076374440737223;90.29483901948952;43.69230769230769;45.29826138529031
seoul;na;southkorea;Seoul National University;5;2020-05-01;;577.7896951119151;2020;5;13;437;2.04372335754701;68.70054671138796;31.214285714285715;33.98618526107356
rabat;na;morocco;Ecole Mohammadia d'Ingenieurs, Mohammed V University in Rabat;1;2020-05-01;;22.368830183985136;2020;5;2;5;0.6346379508609287;1.5865948771523217;1.6666666666666667;1.2959664982266392
beijing;na;china;Renmin Business School;1;2020-05-01;;16251.925428963288;2020;5;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
beijing;na;china;Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences;30;2020-04-25;;16251.925428963288;2020;4;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
mexico;na;mexico;Universidad Nacional Autónoma de México;14;2020-04-20;;21825.722321975536;2020;4;3;39;0.3002735404065917;3.9035560252856922;9.75;4.651276521897429
kualalumpur;na;malaysia;Razak Faculty of Technology and Informatics;2;2020-04-15;;239.05539904561607;2020;4;3;617;0.5473583846984894;112.57337445298933;154.25;89.1235776125626
beijing;na;china;Beihang University;7;2020-04-02;;16251.925428963288;2020;4;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
alahmadi;na;kuwait;American University of the Middle East;22;2020-04-02;;4812.902586468782;2020;4;2;31;0.23586954547101097;3.6559779548006697;10.333333333333334;4.741726944535005
tokyo;na;japan;The University of Tokyo;9;2020-04-01;;2183.257105688409;2020;4;12;61;1.5606647857635991;7.933379327631629;4.6923076923076925;4.728783935234307
;na;;Jain Family Institute;34;2020-04-01;;22789.176045694046;2020;4;56;4907;5.580977324234948;489.03313803608734;86.08771929824562;193.56727821952265
;na;;Jain Family Institute;34;2020-04-01;;30.998015667873815;2020;4;56;4907;16.15847358100739;1415.8862475357723;86.08771929824562;506.0441468050085
;na;;Jain Family Institute;34;2020-04-01;;7.659317640299705;2020;4;56;4907;25.942308913799188;2273.1948185716537;86.08771929824562;795.0749489278995
;na;;Jain Family Institute;34;2020-04-01;;0.6005401661100286;2020;4;56;4907;119.06250791315946;10432.852255890597;86.08771929824562;3546.0008277006673
;na;;Jain Family Institute;34;2020-04-01;;3.0224599549822613;2020;4;56;4907;40.23295904691698;3525.4130364861003;86.08771929824562;1217.244571610421
;na;;Jain Family Institute;34;2020-04-01;;133.29701355842872;2020;4;56;4907;11.428445794526104;1001.4175627453499;86.08771929824562;366.3112426127072
;na;;Jain Family Institute;34;2020-04-01;;37.868741813126185;2020;4;56;4907;15.299750630131465;1340.6406489652695;86.08771929824562;480.6760396312156
beijing;na;china;Tsinghua University;6;2020-04-01;;16251.925428963288;2020;4;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
beijing;na;china;University of Science and Technology Beijing;5;2020-04-01;;16251.925428963288;2020;4;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
nicosia;na;cyprus;University of Cyprus;5;2020-04-01;;1967.9460500993875;2020;4;3;53;0.3955042411378141;6.9872415934347165;13.25;6.877581944857511
daegu;na;southkorea;Kyungpook National University (KNU);40;2020-04-01;;465.5414087756015;2020;4;2;72;0.3254494939387102;11.716181781793567;24.0;12.013877091910759
seoul;na;southkorea;Hankuk University of Foreign Studies;45;2020-04-01;;577.7896951119151;2020;4;13;437;2.04372335754701;68.70054671138796;31.214285714285715;33.98618526107356
shanghai;na;china;Shanghai Jiao Tong University;10;2020-04-01;;6746.037435237712;2020;4;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
haifa;na;israel;Technion - Israel Institute of Technology;16;2020-04-01;;856.7722104516247;2020;4;1;16;0.14805298681110116;2.3688477889776185;8.0;3.5056335919295734
seoul;na;southkorea;Institute of Advanced Machines and Design;23;2020-04-01;;577.7896951119151;2020;4;13;437;2.04372335754701;68.70054671138796;31.214285714285715;33.98618526107356
mexico;na;mexico;Universidad Nacional Autónoma de México;24;2020-04-01;;21825.722321975536;2020;4;3;39;0.3002735404065917;3.9035560252856922;9.75;4.651276521897429
shanghai;na;china;Shanghai Jiao Tong University;12;2020-04-01;;6746.037435237712;2020;4;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
budapest;na;hungary;Obuda University;258;2020-04-01;;538.4248558570337;2020;4;12;568;1.9076374440737223;90.29483901948952;43.69230769230769;45.29826138529031
beijing;na;china;China Academy of Space Technology;15;2020-04-01;;16251.925428963288;2020;4;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
seoul;na;southkorea;Sejong University;33;2020-04-01;;577.7896951119151;2020;4;13;437;2.04372335754701;68.70054671138796;31.214285714285715;33.98618526107356
seoul;na;southkorea;Korea University;41;2020-04-01;;577.7896951119151;2020;4;13;437;2.04372335754701;68.70054671138796;31.214285714285715;33.98618526107356
shanghai;na;china;Tongji University;3;2020-04-01;;6746.037435237712;2020;4;17;604;1.9281243362016747;68.50512347445951;33.55555555555556;34.66293445540558
beijing;na;china;University of Chinese Academy of Sciences;1254;2020-03-02;;16251.925428963288;2020;3;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
kingston;na;jamaica;Caribbean Maritime University;30;2020-03-02;;29.87477338318394;2020;3;2;88;0.5831006716527011;25.65642955271885;29.333333333333332;18.524287852568296
daejeon;na;southkorea;Korea Advanced Institute of Science and Technology;6;2020-03-01;;366.09793367851626;2020;3;5;152;0.8466499142440806;25.738157393020053;25.333333333333332;17.30604688019916
asuncion;na;paraguay;Guyra Paraguay;4;2020-03-01;;164.33647258707921;2020;3;4;15;0.7830880199531453;2.9365800748242945;3.0;2.2398893649258134
asuncion;na;paraguay;Universidad Autónoma de Asunción;9;2020-03-01;;164.33647258707921;2020;3;4;15;0.7830880199531453;2.9365800748242945;3.0;2.2398893649258134
beijing;na;china;Tsinghua University;76;2020-03-01;;16251.925428963288;2020;3;63;4187;6.497505856398147;431.82630191649275;65.421875;167.91522759096364
daejeon;na;southkorea;Korea Advanced Institute of Science and Technology;48;2020-02-16;;366.09793367851626;2020;2;5;152;0.8466499142440806;25.738157393020053;25.333333333333332;17.30604688019916
;na;;S P Global Market Intelligence Data Science;0;2020-02-01;;22789.176045694046;2020;2;56;4907;5.580977324234948;489.03313803608734;86.08771929824562;193.56727821952265
;na;;S P Global Market Intelligence Data Science;0;2020-02-01;;30.998015667873815;2020;2;56;4907;16.15847358100739;1415.8862475357723;86.08771929824562;506.0441468050085
;na;;S P Global Market Intelligence Data Science;0;2020-02-01;;7.659317640299705;2020;2;56;4907;25.942308913799188;2273.1948185716537;86.08771929824562;795.0749489278995
;na;;S P Global Market Intelligence Data Science;0;2020-02-01;;0.6005401661100286;2020;2;56;4907;119.06250791315946;10432.852255890597;86.08771929824562;3546.0008277006673
