state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
beijing;na;china;beijingjiaotonguniversity;6;2023-05-01;;16251.925428963288
;na;singapore;schoolofcomputerscienceandengineering;19;2023-05-01;;
shanghai;na;china;ecustschoolofbusiness;24;2023-05-01;;6746.037435237712
;na;germany;europeanresearchcenterforinformationsystems;16;2023-05-01;;
shanghai;na;china;ecustschoolofbusiness;3;2023-05-01;;6746.037435237712
tianjin;na;china;tianjinagriculturaluniversity;3;2023-05-01;;11475.448711234842
;na;unitedkingdom;uclschoolofmanagement;10;2023-05-01;;
;na;azerbaijan;bakuengineeringuniversity;44;2023-05-01;;
beijing;na;china;laboratoryforearthsurfaceprocessesministryofeducation;18;2023-05-01;;16251.925428963288
tokyo;na;japan;wasedauniversity;15;2023-05-01;;2183.257105688409
hochiminhcity;na;vietnam;vnuhcm-universityofinformationtechnology;13;2023-05-01;;1908.347244541649
seoul;na;southkorea;yonseiuniversity;6;2023-05-01;;577.7896951119151
beijing;na;china;chinaacademyofspacetechnology;12;2023-05-01;;16251.925428963288
;na;china;chengduuniversityoftechnology;3;2023-05-01;;
antalya;na;turkiye;akdenizuniversitesi;3;2023-05-01;;21198.848789480962
;na;hongkong;hongkonguniversityofscienceandtechnology;4;2023-05-01;;
;na;qatar;computerscienceandengineeringdepartment,collegeofengineering,qataruniversity;5;2023-05-01;;
seoul;na;southkorea;departmentofcomputerscienceandengineering;3;2023-05-01;;577.7896951119151
;na;singapore;schoolofcomputerscienceandengineering;8;2023-05-01;;
;na;ukraine;tarasshevchenkonationaluniversityofkyiv;2;2023-04-30;;
limassol;na;cyprus;cyprusuniversityoftechnology;0;2023-04-30;;1272.3010859636038
limassol;na;cyprus;cyprusuniversityoftechnology;2;2023-04-30;;1272.3010859636038
;na;hongkong;huaweinoah'sarklab;13;2023-04-30;;
beijing;na;china;universityofchineseacademyofsciences;21;2023-04-30;;16251.925428963288
;na;thailand;chulalongkornuniversity;0;2023-04-27;;
amman;na;jordan;germanjordanianuniversity;3;2023-04-24;;7871.351653421184
quezoncity;na;philippines;universityofthephilippinesdiliman,collegeofengineering;4;2023-04-21;;164.07793337093935
;na;na;na;7;2023-04-18;;
;na;russianfederation;financialuniversityunderthegovernmentoftherussianfederation;1;2023-04-17;;
ljubljana;na;slovenia;"institut""jozefstefan""";2;2023-04-15;;276.4264340186147
budapest;na;hungary;budapestuniversityoftechnologyandeconomics;24;2023-04-15;;538.4248558570337
